,Age,PTS,FG%,3P%,3PA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,Rank,Season,Name
0,25.90909090909091,11.609090909090911,0.45081818181818184,0.35154545454545455,3.7454545454545456,0.7490000000000001,1.1727272727272728,3.4545454545454546,2.5454545454545454,0.8363636363636364,0.5,1.6727272727272726,2.3363636363636364,26,2018-19,Atlanta Hawks
1,25.545454545454547,10.027272727272726,0.4554545454545455,0.34900000000000003,3.1699999999999995,0.7726363636363637,0.8454545454545453,3.0545454545454547,2.4000000000000004,0.7272727272727273,0.41818181818181815,1.481818181818182,1.8181818181818181,28,2017-18,Atlanta Hawks
2,27.3,10.41,0.4516000000000001,0.3362222222222222,2.644444444444444,0.7501999999999999,1.0699999999999998,3.4400000000000004,2.3199999999999994,0.8400000000000001,0.5777777777777777,1.54,1.8200000000000003,11,2016-17,Atlanta Hawks
3,27.666666666666668,10.97777777777778,0.4571111111111111,0.3565555555555555,3.1333333333333333,0.7937777777777777,0.7777777777777779,3.522222222222222,2.7333333333333325,0.9555555555555555,0.5888888888888889,1.5333333333333334,1.8666666666666667,8,2015-16,Atlanta Hawks
4,27.454545454545453,10.172727272727274,0.4480909090909091,0.35345454545454547,2.690909090909091,0.772181818181818,0.8181818181818183,3.1545454545454548,2.618181818181818,0.8999999999999999,0.5000000000000001,1.3454545454545455,1.7181818181818178,2,2014-15,Atlanta Hawks
5,27.363636363636363,9.754545454545454,0.4449090909090909,0.3459,3.0899999999999994,0.7822727272727273,0.7545454545454544,2.9545454545454546,2.4818181818181815,0.8090909090909091,0.4000000000000001,1.3909090909090909,1.9090909090909094,18,2013-14,Atlanta Hawks
6,28.0,9.312499999999998,0.455,0.34714285714285714,2.3625000000000003,0.733875,0.9625,3.1999999999999997,2.4250000000000003,0.85,0.36250000000000004,1.325,1.9124999999999999,14,2012-13,Atlanta Hawks
7,28.444444444444443,8.866666666666667,0.4524444444444444,0.38312500000000005,2.3375000000000004,0.7696666666666666,0.8888888888888888,2.7333333333333334,2.088888888888889,0.7555555555555555,0.3111111111111111,1.1888888888888889,1.7333333333333334,9,2011-12,Atlanta Hawks
8,27.375,9.887500000000001,0.4615,0.47000000000000003,2.65,0.767,0.8875,2.9,2.4374999999999996,0.5875,0.3375,1.2375,1.8625,13,2010-11,Atlanta Hawks
9,26.5,12.83333333333333,0.46950000000000003,0.4885999999999999,3.1599999999999997,0.799,1.2333333333333332,3.5,2.6166666666666667,0.7833333333333333,0.4800000000000001,1.3,2.1333333333333333,7,2009-10,Atlanta Hawks
